,propid,zip,appraisal_2017,appraisal_2016,appraisal_2015,appraisal_2014,appraisal_2013
459,14612200000000.0,78702,328500,308358,294308,312193,241822
460,4460510000000.0,78702,409656,381968,364474,314077,194403
461,4466860000000.0,78702,417631,362744,339715,294076,164931
462,16602200000000.0,78702,378909,340418,326916,280035,170615
463,14612200000000.0,78702,350867,336079,323923,330733,237217
464,4157210000000.0,78702,392149,352670,332166,287235,180671
465,15058900000000.0,78702,412034,385181,367376,316707,230326
466,3392140000000.0,78702,579385,729218,517534,467493,333301
467,16632600000000.0,78702,353012,331574,309700,315168,250618
468,16632600000000.0,78702,356113,337043,316844,322475,232823
469,4758110000000.0,78702,439253,366865,363897,324115,217745
470,16602200000000.0,78702,360470,315500,304394,259621,186412
471,16602200000000.0,78702,561154,589142,509600,277064,168220
472,3555720000000.0,78702,404149,374525,357746,307978,228845
473,2777280000000.0,78702,459395,556238,401741,353946,233991
474,1448070000000.0,78702,414851,400613,303500,287571,182543
475,16602200000000.0,78702,277611,289339,271134,237613,216926
476,16707200000000.0,78702,430266,373041,351004,275788,162864
477,16678700000000.0,78702,266410,240623,233772,255423,165331
478,16602200000000.0,78702,344311,263663,254656,216981,148077
479,16602200000000.0,78702,417534,348178,341403,291538,286243
480,14612200000000.0,78702,319677,358747,339972,325415,233777
481,16602200000000.0,78702,288669,218471,217096,180496,124332
482,16632600000000.0,78702,350075,334531,310584,314173,256805
483,16602200000000.0,78702,392751,359123,343825,295360,190175
484,3542200000000.0,78702,303124,279140,223163,238046,111500
485,3391250000000.0,78702,440130,465799,396236,351940,240994
486,16707200000000.0,78702,389918,355295,340135,292016,179086
487,16707200000000.0,78702,414274,388208,370109,319184,204422
488,16602200000000.0,78702,332893,278234,270714,229094,139428
489,4764340000000.0,78702,475750,552540,557521,487770,358653
